profile,metric,asset_class,value,unit,kind,window_start_utc,window_end_utc,derivation,source_url,source_page_or_section,notes
may2024,screening_suspension,,72,hours,derived_from_source,2024-05-10T15:00:00Z,2024-05-13T15:00:00Z,storm G1+ window plus the stated ""days that followed""; taken as the G1+ span rounded to 72 h,https://arxiv.org/html/2406.08617v2,"Section 4 (operational implications): conjunction identification ""very difficult or impossible during the storm and in the days that followed""",No public notice records a formal suspension of Space-Track screening; this is the operationally-unusable window described in the literature. See calibration.md.
may2024,tracking_degradation,,120,hours,derived_from_source,2024-05-10T15:00:00Z,2024-05-15T15:00:00Z,G1+ span (63 h) extended by the post-storm re-cataloguing described as ""the days that followed"",https://arxiv.org/html/2406.08617v2,"Section 1: ""Storms can cause forecast errors in satellite positions to reach several kilometers even within a single day""; Section 4 on the post-manoeuvre restart of the conjunction pipeline",Position-forecast error of several km within one day is the degradation the engine models as reduced sensor_confidence.
may2024,safe_mode_events_documented,science_leo,1,satellites,observed,2024-05-10T00:00:00Z,2024-06-21T00:00:00Z,ICESat-2 entered safe hold; ATLAS resumed science 21 June 2024,https://nsidc.org/news-analyses/news-stories/rolling-solar-storm-how-icesat-2-got-back-track,"Body text: ""a several-week-long interruption to ICESat-2 data processing, from May 10 to June 21""",No public aggregate safe-mode count exists for this storm; this is a documented floor of one, not a population estimate.
may2024,service_outage,science_leo,1008,hours,observed,2024-05-10T00:00:00Z,2024-06-21T00:00:00Z,42 days from 10 May to 21 June 2024,https://nsidc.org/news-analyses/news-stories/rolling-solar-storm-how-icesat-2-got-back-track,"Body text: interruption ""from May 10 to June 21""",Recovery time exceeds storm duration by an order of magnitude. This is the asymmetry the engine's storm layer must carry.
may2024,satellites_lost,,0,satellites,observed,2024-05-10T00:00:00Z,2024-05-31T00:00:00Z,no reentries attributed to this storm in the cited literature,https://arxiv.org/html/2406.08617v2,"Sections 3-4: losses discussed as altitude decay and manoeuvre burden, not reentry",A G5 storm with a 6x density spike destroyed nothing; a G1 storm two years earlier destroyed 38 satellites.
feb2022,peak_kp,,5.333,kp,observed,2022-02-03T09:00:00Z,2022-02-03T12:00:00Z,max of calib/series/kp_feb2022.csv,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"UT day 2022-02-03, column Kp4 (definitive, D=2)",G1 on the NOAA scale. Kp 5.333 also reached on 2022-02-04.
feb2022,min_dst,,-66,nT,observed,2022-02-03T10:00:00Z,2022-02-03T11:00:00Z,min of calib/series/dst_feb2022.csv,https://wdc.kugi.kyoto-u.ac.jp/dst_provisional/202202/index.html,"Hourly Equatorial Dst Values (PROVISIONAL), row DAY 3, hour 11 UT column",Never falls below -100 nT anywhere in the window.
feb2022,noaa_g_scale,,G1,scale,observed,2022-02-03T06:00:00Z,2022-02-04T21:00:00Z,Kp 5 maps to G1 on the NOAA scale,https://www.spaceweather.gov/noaa-scales-explanation,"Geomagnetic Storms (G) table, G1 row (Kp 5)","G1 effects text: ""Minor impact on satellite operations possible."" — which is what makes the outcome instructive."
feb2022,storm_duration_g1_plus,,12,hours,derived_from_series,2022-02-03T06:00:00Z,2022-02-04T21:00:00Z,count of 3-hour Kp bins >= 5.0 in calib/series/kp_feb2022.csv x 3 h,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"UT days 2022-02-03 and 2022-02-04, Kp1..Kp8",Four 3-hour bins at G1; none above.
feb2022,ring_current_recovery,,2,hours,derived_from_series,2022-02-03T10:00:00Z,2022-02-03T12:00:00Z,hours from the Dst minimum until Dst first exceeds -50 nT,https://wdc.kugi.kyoto-u.ac.jp/dst_provisional/202202/index.html,"Hourly Equatorial Dst Values (PROVISIONAL), row DAY 3",13 h total below -50 nT across the window; recovery from the deepest point is almost immediate.
feb2022,density_enhancement_factor,leo_200_400km,2.25,ratio,observed,2022-02-03T06:00:00Z,2022-02-05T00:00:00Z,upper bound of the reported 50-125 percent enhancement expressed as a ratio (1.5 to 2.25),https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2022SW003193,"Fang et al. 2022, Space Weather 20, e2022SW003193 — abstract and simulation section: ""50%-125% density enhancement at altitudes ranging between 200 and 400 km""",Lower bound of the same range is 1.5. Engine should carry the range; see calibration.md.
feb2022,drag_increase_operator_reported,leo_constellation,1.50,ratio,observed,2022-02-03T18:13:00Z,2022-02-05T00:00:00Z,operator-reported drag ""up to 50% higher than during previous launches"",https://www.spacex.com/updates,"SpaceX update, 8 February 2022: ""Geomagnetic Storm and Recently Deployed Starlink Satellites""",Measured from onboard GPS by the operator, not modeled.
feb2022,satellites_lost,leo_constellation,38,satellites,observed,2022-02-03T18:13:00Z,2022-02-07T00:00:00Z,38 of 49 satellites deployed on 3 February 2022 reentered on or about 7 February,https://www.swsc-journal.org/articles/swsc/full_html/2022/01/swsc220018/swsc220018.html,"Hapgood et al. 2022, J. Space Weather Space Clim. — title and abstract: ""Unexpected space weather causing the reentry of 38 Starlink satellites in February 2022""",The operator's own update on 8 Feb put the figure at ""up to 40""; 38 is the reentry count in the peer-reviewed record.
feb2022,safe_mode_events_documented,leo_constellation,49,satellites,observed,2022-02-03T18:13:00Z,2022-02-05T00:00:00Z,the whole deployed batch commanded to the safe edge-on low-drag attitude,https://www.spacex.com/updates,"SpaceX update, 8 February 2022: satellites ""commanded ... to fly edge-on (like a sheet of paper)"" in a safe-mode low-drag attitude",Safe mode was entered correctly and still did not save them: the engine must not treat safe mode as a guaranteed mitigation.
feb2022,screening_suspension,,0,hours,observed,2022-02-03T00:00:00Z,2022-02-08T00:00:00Z,no reported interruption to conjunction assessment,https://www.swsc-journal.org/articles/swsc/full_html/2022/01/swsc220018/swsc220018.html,"Hapgood et al. 2022, discussion of operational consequences",The failure here was forecast quality before launch, not the tracking picture during the event.
feb2022,tracking_degradation,,36,hours,derived_from_series,2022-02-03T06:00:00Z,2022-02-04T18:00:00Z,span of the G1+ Kp window,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"UT days 2022-02-03 and 2022-02-04, Kp1..Kp8",Minimal degradation. Kept in the table so the engine has a low-severity anchor point.
feb2022,pre_event_forecast_gap,,1,count,observed,2022-02-03T00:00:00Z,2022-02-03T18:13:00Z,"the pre-launch space weather briefing carried no notice of an ongoing geomagnetic storm",https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2022SW003193,"Fang et al. 2022, Space Weather 20, e2022SW003193 — introduction",The decision-relevant fact: the operator acted on a picture that did not contain the storm.
gscale,kp_threshold,,5,kp,observed,,,NOAA G1 threshold,https://www.spaceweather.gov/noaa-scales-explanation,"Geomagnetic Storms (G) table, G1 row","G1 Minor. ""Minor impact on satellite operations possible."" 1700 events / 900 days per 11-year cycle."
gscale,kp_threshold,,6,kp,observed,,,NOAA G2 threshold,https://www.spaceweather.gov/noaa-scales-explanation,"Geomagnetic Storms (G) table, G2 row","G2 Moderate. ""Corrective actions to orientation may be required by ground control; possible changes in drag affect orbit predictions."" 600 events / 360 days per cycle."
gscale,kp_threshold,,7,kp,observed,,,NOAA G3 threshold,https://www.spaceweather.gov/noaa-scales-explanation,"Geomagnetic Storms (G) table, G3 row","G3 Strong. ""Surface charging may occur on satellite components, drag may increase on low-Earth-orbit satellites, and corrections may be needed for orientation problems."" 200 events / 130 days per cycle."
gscale,kp_threshold,,8,kp,observed,,,NOAA G4 threshold,https://www.spaceweather.gov/noaa-scales-explanation,"Geomagnetic Storms (G) table, G4 row","G4 Severe. ""May experience surface charging and tracking problems, corrections may be needed for orientation problems."" 100 events / 60 days per cycle."
gscale,kp_threshold,,9,kp,observed,,,NOAA G5 threshold,https://www.spaceweather.gov/noaa-scales-explanation,"Geomagnetic Storms (G) table, G5 row","G5 Extreme. ""May experience extensive surface charging, problems with orientation, uplink/downlink and tracking satellites."" 4 events / 4 days per cycle."
